"key","external_event_name"
"freshdesk","onTicketCreate"
"freshdesk","onTicketUpdate"
"freshdesk","onTicketDelete"
"freshdesk","onConversationCreate"
"freshdesk","onConversationUpdate"
"freshdesk","onConversationDelete"
"freshdesk","onContactCreate"
"freshdesk","onContactUpdate"
"freshdesk","onContactDelete"
"freshdesk","onTimeEntryCreate"
"freshdesk","onTimeEntryUpdate"
"freshdesk","onTimeEntryDelete"
"freshdesk","onCompanyCreate"
"freshdesk","onCompanyUpdate"
"freshdesk","onCompanyDelete"
"freshdesk","onAgentCreate"
"freshdesk","onAgentUpdate"
"freshdesk","onAgentDelete"
"freshdesk","onGroupCreate"
"freshdesk","onGroupUpdate"
"freshdesk","onGroupDelete"
"freshdesk","onTicketFieldCreate"
"freshdesk","onTicketFieldUpdate"
"freshdesk","onTicketFieldDelete"
"freshdesk","onPicklistValueCreate"
"freshdesk","onPicklistValueUpdate"
"freshdesk","onPicklistValueDelete"
"freshdesk","onTopicCreate"
"freshdesk","onTopicUpdate"
"freshdesk","onTopicDelete"
"freshdesk","onForumCreate"
"freshdesk","onForumUpdate"
"freshdesk","onForumDelete"
"freshdesk","onForumCategoryCreate"
"freshdesk","onForumCategoryUpdate"
"freshdesk","onForumCategoryDelete"
"freshdesk","onPortalForumCategoryCreate"
"freshdesk","onPortalForumCategoryDelete"
"freshdesk","onArticleCreate"
"freshdesk","onArticleUpdate"
"freshdesk","onArticleDelete"
"freshdesk","onCategoryCreate"
"freshdesk","onCategoryUpdate"
"freshdesk","onCategoryDelete"
"freshdesk","onPortalSolutionCategoryCreate"
"freshdesk","onPortalSolutionCategoryDelete"
"freshdesk","onFolderCreate"
"freshdesk","onFolderUpdate"
"freshdesk","onFolderDelete"
"freshdesk","onSurveyCreate"
"freshdesk","onSurveyUpdate"
"freshdesk","onCannedResponseCreate"
"freshdesk","onCannedResponseUpdate"
"freshdesk","onCannedResponseDelete"
"freshdesk","onAgentStatusCreate"
"freshdesk","onAgentStatusDelete"
"freshdesk","onAgentStatusUpdate"
"freshdesk","onAgentAvailabilityUpdate"
"freshsales","onContactCreate"
"freshsales","onContactUpdate"
"freshsales","onContactDelete"
"freshsales","onLeadCreate"
"freshsales","onLeadUpdate"
"freshsales","onLeadDelete"
"freshsales","onDealCreate"
"freshsales","onDealUpdate"
"freshsales","onDealDelete"
"freshsales","onSalesAccountCreate"
"freshsales","onSalesAccountUpdate"
"freshsales","onSalesAccountDelete"
"freshsales","onCustomModuleCreate"
"freshsales","onCustomModuleUpdate"
"freshsales","onTaskCreate"
"freshsales","onTaskUpdate"
"freshsales","onAppointmentCreate"
"freshsales","onAppointmentUpdate"
"freshsales","onSalesActivityCreate"
"freshsales","onSalesActivityUpdate"
"freshsales","onPhoneCallCreate"
"freshsales","onPhoneCallUpdate"
"freshsales","onCpqDocumentCreate"
"freshsales","onCpqDocumentUpdate"
"freshsales","onCpqDocumentDelete"
"freshsales","onProductCreate"
"freshsales","onProductUpdate"
"freshsales","onEmailConversationCreate"
"freshsales","onEmailConversationUpdate"
"freshsales","onEmailConversationDelete"
"freshservice","onTicketCreate"
"freshservice","onTicketUpdate"
"freshservice","onConversationCreate"
"freshservice","onUserCreate"
"freshservice","onUserUpdate"
"freshservice","onUserDelete"
"freshchat","onConversationCreate"
"freshchat","onConversationUpdate"
"freshchat","onMessageCreate"
"freshchat","onUserCreate"
"freshchat","onUserUpdate"
"freshchat","onTicketMessageCreate"
"freshchat","onAgentActivityCreate"
"freshchat","onAgentCustomStatusUpdate"
"freshteam","onEmployeeCreate"
"freshteam","onEmployeeUpdate"
"freshteam","onNewHireCreate"
"freshteam","onNewHireUpdate"
"freshteam","onJobPostingCreate"
"freshteam","onJobPostingUpdate"
"freshteam","onTimeOffCreate"
"freshteam","onTimeOffUpdate"
"freshteam","onApplicantCreate"
"freshteam","onApplicantUpdate"
"freshteam","onInterviewCreate"
"freshteam","onInterviewUpdate"
"freshcaller","onCallCreate"
"freshcaller","onCallUpdate"
"freshcaller","onAgentUpdate"
"freshworks_crm","onContactCreate"
"freshworks_crm","onContactUpdate"
"freshworks_crm","onContactDelete"
"freshworks_crm","onDealCreate"
"freshworks_crm","onDealUpdate"
"freshworks_crm","onDealDelete"
"freshworks_crm","onSalesAccountCreate"
"freshworks_crm","onSalesAccountUpdate"
"freshworks_crm","onSalesAccountDelete"
"freshworks_crm","onCustomModuleCreate"
"freshworks_crm","onCustomModuleUpdate"
"freshworks_crm","onTaskCreate"
"freshworks_crm","onTaskUpdate"
"freshworks_crm","onAppointmentCreate"
"freshworks_crm","onAppointmentUpdate"
"freshworks_crm","onSalesActivityCreate"
"freshworks_crm","onSalesActivityUpdate"
"freshworks_crm","onPhoneCallCreate"
"freshworks_crm","onPhoneCallUpdate"
"freshworks_crm","onCpqDocumentCreate"
"freshworks_crm","onCpqDocumentUpdate"
"freshworks_crm","onCpqDocumentDelete"
"freshworks_crm","onProductCreate"
"freshworks_crm","onProductUpdate"
"freshworks_crm","onEmailConversationCreate"
"freshworks_crm","onEmailConversationUpdate"
"freshworks_crm","onEmailConversationDelete"